N,E,psi,u,v,r
503.942,-202.009,0.34612,0.00232732,0,0,
504.069,-201.676,-0.00642462,-0.000390611,0,0,
504.069,-201.676,-0.00642462,-0.000390611,0,0,
503.749,-201.274,-0.365086,0.000980127,0,0,
503.749,-201.274,-0.365086,0.000980127,0,0,
503.44,-200.767,-0.721183,-0.000594315,0,0,
503.44,-200.767,-0.721183,-0.000594315,0,0,
503.697,-200.619,-0.902546,0.000752688,0,0,
503.697,-200.619,-0.902546,0.000752688,0,0,
503.679,-199.824,-1.30999,0.000431197,0,0,
503.679,-199.824,-1.30999,0.000431197,0,0,
504.63,-199.554,-1.58117,-0.00032739,0,0,
504.63,-199.554,-1.58117,-0.00032739,0,0,
504.69,-199.511,-1.73991,-0.00144614,0,0,
504.69,-199.511,-1.73991,-0.00144614,0,0,
505.217,-200.156,-1.76622,-0.00164538,0,0,
505.217,-200.156,-1.76622,-0.00164538,0,0,
504.916,-200.318,-1.81407,-0.000932542,0,0,
504.916,-200.318,-1.81407,-0.000932542,0,0,
504.428,-200.121,-1.72865,5.55578e-05,0,0,
504.428,-200.121,-1.72865,5.55578e-05,0,0,
504.178,-200.666,-1.57612,-0.00134115,0,0,
504.178,-200.666,-1.57612,-0.00134115,0,0,
503.802,-200.087,-1.45931,-0.00167465,0,0,
503.802,-200.087,-1.45931,-0.00167465,0,0,
503.52,-200.794,-1.21787,-0.000848088,0,0,
503.52,-200.794,-1.21787,-0.000848088,0,0,
503.134,-200.405,-1.01645,-0.000764769,0,0,
503.134,-200.405,-1.01645,-0.000764769,0,0,
502.633,-200.631,-0.847292,-0.000703265,0,0,
502.633,-200.631,-0.847292,-0.000703265,0,0,
502,-201.008,-0.753601,-0.00296334,0,0,
502,-201.008,-0.753601,-0.00296334,0,0,
502.213,-201.063,-0.59849,0.000216898,0,0,
502.213,-201.063,-0.59849,0.000216898,0,0,
501.511,-201.48,-0.467163,-0.00291791,0,0,
501.511,-201.48,-0.467163,-0.00291791,0,0,
500.612,-201.933,-0.362131,-0.000943414,0,0,
500.612,-201.933,-0.362131,-0.000943414,0,0,
500.76,-202.073,-0.332522,0.00131411,0,0,
500.76,-202.073,-0.332522,0.00131411,0,0,
500.57,-201.612,-0.221752,-0.000805204,0,0,
500.57,-201.612,-0.221752,-0.000805204,0,0,
500.619,-202.124,-0.0956345,-0.000458438,0,0,
500.619,-202.124,-0.0956345,-0.000458438,0,0,
499.391,-202.376,0.0421198,-0.00118188,0,0,
499.391,-202.376,0.0421198,-0.00118188,0,0,
500.104,-203.369,0.156374,-0.00171595,0,0,
500.104,-203.369,0.156374,-0.00171595,0,0,
500.314,-203.193,0.444922,-0.00154428,0,0,
500.314,-203.193,0.444922,-0.00154428,0,0,
499.682,-203.877,0.733447,-0.00116868,0,0,
499.682,-203.877,0.733447,-0.00116868,0,0,
499.767,-204.319,1.06873,0.000820089,0,0,
499.767,-204.319,1.06873,0.000820089,0,0,
500.753,-205.961,1.27147,0.00119634,0,0,
500.753,-205.961,1.27147,0.00119634,0,0,
501.013,-206.292,1.70765,8.77057e-06,0,0,
501.013,-206.292,1.70765,8.77057e-06,0,0,
500.42,-205.073,2.03208,0.000664884,0,0,
500.42,-205.073,2.03208,0.000664884,0,0,
501.547,-206.028,2.29333,-0.00010503,0,0,
501.547,-206.028,2.29333,-0.00010503,0,0,
501.412,-205.215,2.35769,0.00083499,0,0,
501.412,-205.215,2.35769,0.00083499,0,0,
501.864,-205.479,2.55147,0.000936331,0,0,
501.864,-205.479,2.55147,0.000936331,0,0,
501.569,-205.848,2.52942,0.000321301,0,0,
501.569,-205.848,2.52942,0.000321301,0,0,
501.292,-204.474,2.45569,-4.68708e-05,0,0,
501.292,-204.474,2.45569,-4.68708e-05,0,0,
500.605,-205.64,2.35311,-0.000640597,0,0,
500.605,-205.64,2.35311,-0.000640597,0,0,
501.084,-206.077,2.14822,-0.000853679,0,0,
501.084,-206.077,2.14822,-0.000853679,0,0,
500.197,-205.953,1.95116,0.00125273,0,0,
500.197,-205.953,1.95116,0.00125273,0,0,
499.93,-205.658,1.74771,-0.000165876,0,0,
499.93,-205.658,1.74771,-0.000165876,0,0,
499.232,-206.08,1.63881,0.00118236,0,0,
499.232,-206.08,1.63881,0.00118236,0,0,
498.903,-206.957,1.43582,-0.000480913,0,0,
498.903,-206.957,1.43582,-0.000480913,0,0,
498.725,-206.394,1.29963,0.000772654,0,0,
498.725,-206.394,1.29963,0.000772654,0,0,
498.072,-206.813,1.16479,0.00123304,0,0,
498.072,-206.813,1.16479,0.00123304,0,0,
498.45,-206.977,1.14531,0.000309659,0,0,
498.45,-206.977,1.14531,0.000309659,0,0,
497.556,-206.379,1.01818,0.000632883,0,0,
497.556,-206.379,1.01818,0.000632883,0,0,
497.056,-206.06,0.92494,0.000618975,0,0,
497.056,-206.06,0.92494,0.000618975,0,0,
497.441,-206.737,0.813911,0.00104724,0,0,
497.441,-206.737,0.813911,0.00104724,0,0,
496.931,-206.488,0.731566,0.000593426,0,0,
496.931,-206.488,0.731566,0.000593426,0,0,
496.42,-207.111,0.533431,0.00112471,0,0,
496.42,-207.111,0.533431,0.00112471,0,0,
494.516,-206.999,0.274138,0.00133577,0,0,
494.516,-206.999,0.274138,0.00133577,0,0,
495.282,-205.357,-0.0172692,0.000421427,0,0,
495.282,-205.357,-0.0172692,0.000421427,0,0,
495.327,-205.687,-0.179349,0.000311222,0,0,
495.327,-205.687,-0.179349,0.000311222,0,0,
494.298,-204.945,-0.638256,-0.000565886,0,0,
494.298,-204.945,-0.638256,-0.000565886,0,0,
494.756,-204.239,-0.969912,0.000577379,0,0,
494.756,-204.239,-0.969912,0.000577379,0,0,
494.699,-203.587,-1.30137,0.000461401,0,0,
494.699,-203.587,-1.30137,0.000461401,0,0,
495.922,-203.404,-1.4229,-0.000885631,0,0,
495.922,-203.404,-1.4229,-0.000885631,0,0,
496.123,-203.814,-1.72157,-0.00182202,0,0,
496.123,-203.814,-1.72157,-0.00182202,0,0,
495.899,-203.756,-1.81684,0.000832755,0,0,
495.899,-203.756,-1.81684,0.000832755,0,0,
496.251,-203.851,-1.84207,-0.00171976,0,0,
496.251,-203.851,-1.84207,-0.00171976,0,0,
496.269,-203.38,-1.77868,-0.00191763,0,0,
496.269,-203.38,-1.77868,-0.00191763,0,0,
495.516,-204.31,-1.64428,-0.000610214,0,0,
495.516,-204.31,-1.64428,-0.000610214,0,0,
495.573,-204.217,-1.47778,-0.000530931,0,0,
495.573,-204.217,-1.47778,-0.000530931,0,0,
494.683,-204.373,-1.25081,-0.00105599,0,0,
494.683,-204.373,-1.25081,-0.00105599,0,0,
494.39,-204.739,-1.14145,-0.00309687,0,0,
494.39,-204.739,-1.14145,-0.00309687,0,0,
494.201,-204.348,-0.911252,-0.000471686,0,0,
494.201,-204.348,-0.911252,-0.000471686,0,0,
493.594,-204.86,-0.760165,-0.000873733,0,0,
493.594,-204.86,-0.760165,-0.000873733,0,0,
493.008,-204.564,-0.598923,-0.000294497,0,0,
