N,E,psi,u,v,r
532.176,-160.948,-2.16376,-4.23083e-05,0,0,
531.611,-161.4,-2.12483,0.000524663,0,0,
531.611,-161.4,-2.12483,0.000524663,0,0,
532.313,-161.799,-2.15824,0.000316752,0,0,
532.313,-161.799,-2.15824,0.000316752,0,0,
532.169,-161.163,-2.15769,-4.23083e-05,0,0,
532.169,-161.163,-2.15769,-4.23083e-05,0,0,
532.237,-161.133,-2.16212,0.00036374,0,0,
532.237,-161.133,-2.16212,0.00036374,0,0,
531.765,-161.462,-2.12296,0.000524663,0,0,
531.765,-161.462,-2.12296,0.000524663,0,0,
532.032,-161.748,-2.15455,0.000586052,0,0,
532.032,-161.748,-2.15455,0.000586052,0,0,
532.323,-161.224,-2.15582,-4.23083e-05,0,0,
532.323,-161.224,-2.15582,-4.23083e-05,0,0,
532.262,-161.565,-2.16317,0.00036374,0,0,
532.262,-161.565,-2.16317,0.00036374,0,0,
532.274,-160.765,-2.14463,-0.000266416,0,0,
532.274,-160.765,-2.14463,-0.000266416,0,0,
532.334,-161.368,-2.16323,0.00036374,0,0,
532.334,-161.368,-2.16323,0.00036374,0,0,
532.105,-161.133,-2.13438,-0.000266416,0,0,
532.105,-161.133,-2.13438,-0.000266416,0,0,
532.259,-161.613,-2.15273,-4.23083e-05,0,0,
532.259,-161.613,-2.15273,-4.23083e-05,0,0,
532.419,-161.176,-2.15761,0.000797768,0,0,
532.419,-161.176,-2.15761,0.000797768,0,0,
532.461,-161.045,-2.14987,-0.000266416,0,0,
532.461,-161.045,-2.14987,-0.000266416,0,0,
531.245,-161.128,-2.15434,0.00139169,0,0,
531.245,-161.128,-2.15434,0.00139169,0,0,
532.156,-160.988,-2.16402,-4.23083e-05,0,0,
532.156,-160.988,-2.16402,-4.23083e-05,0,0,
531.895,-161.103,-2.12513,-0.000361516,0,0,
531.895,-161.103,-2.12513,-0.000361516,0,0,
532.293,-161.839,-2.1585,0.000316752,0,0,
532.293,-161.839,-2.1585,0.000316752,0,0,
532.149,-161.202,-2.15795,-4.23083e-05,0,0,
532.149,-161.202,-2.15795,-4.23083e-05,0,0,
532.217,-161.173,-2.16239,0.00036374,0,0,
532.217,-161.173,-2.16239,0.00036374,0,0,
531.987,-160.937,-2.13353,-0.000266416,0,0,
531.987,-160.937,-2.13353,-0.000266416,0,0,
532.012,-161.788,-2.15481,0.000586052,0,0,
532.012,-161.788,-2.15481,0.000586052,0,0,
532.303,-161.264,-2.15608,-4.23083e-05,0,0,
532.303,-161.264,-2.15608,-4.23083e-05,0,0,
532.242,-161.605,-2.16343,0.00036374,0,0,
532.242,-161.605,-2.16343,0.00036374,0,0,
532.254,-160.805,-2.14489,-0.000266416,0,0,
532.254,-160.805,-2.14489,-0.000266416,0,0,
532.314,-161.408,-2.16349,0.00036374,0,0,
532.314,-161.408,-2.16349,0.00036374,0,0,
532.085,-161.173,-2.13464,-0.000266416,0,0,
532.085,-161.173,-2.13464,-0.000266416,0,0,
532.239,-161.653,-2.15299,-4.23083e-05,0,0,
532.239,-161.653,-2.15299,-4.23083e-05,0,0,
532.399,-161.215,-2.15788,0.000797768,0,0,
532.399,-161.215,-2.15788,0.000797768,0,0,
532.441,-161.085,-2.15013,-0.000266416,0,0,
532.441,-161.085,-2.15013,-0.000266416,0,0,
531.853,-160.919,-2.14884,-0.000266416,0,0,
531.853,-160.919,-2.14884,-0.000266416,0,0,
532.136,-161.028,-2.16428,-4.23083e-05,0,0,
532.136,-161.028,-2.16428,-4.23083e-05,0,0,
531.874,-161.143,-2.12539,-0.000361516,0,0,
531.874,-161.143,-2.12539,-0.000361516,0,0,
532.273,-161.878,-2.15876,0.000316752,0,0,
532.273,-161.878,-2.15876,0.000316752,0,0,
532.129,-161.242,-2.15821,-4.23083e-05,0,0,
532.129,-161.242,-2.15821,-4.23083e-05,0,0,
532.29,-161.089,-2.16241,-4.23083e-05,0,0,
532.29,-161.089,-2.16241,-4.23083e-05,0,0,
531.967,-160.977,-2.1338,-0.000266416,0,0,
531.967,-160.977,-2.1338,-0.000266416,0,0,
531.992,-161.828,-2.15507,0.000586052,0,0,
531.992,-161.828,-2.15507,0.000586052,0,0,
